Tournaments,Normal,Fighting,Flying,Poison,Ground,Rock,Bug,Ghost,Steel,Fire,Water,Grass,Electric,Psychic,Ice,Dragon,Dark,Fairy
Stockholm 24,1,1,4,0,3,0,1,1,1,0,4,0,2,1,1,1,1,0
Indianapolis 24,2,1,4,0,2,0,1,1,1,0,3,0,2,1,0,1,1,1
Orlando 24,2,1,4,0,2,0,1,1,1,0,3,0,2,1,0,1,1,1
EUIC 24,2,1,4,0,2,0,1,1,1,0,3,0,2,1,0,1,1,1
Vancouver 24,2,1,3,0,2,0,1,1,2,0,2,0,2,1,0,2,1,0
Utrecht 24,1,2,2,0,2,0,1,1,2,0,3,0,2,2,0,1,0,1
Dortmund 24,1,1,4,0,2,0,1,1,2,1,3,0,2,1,0,1,0,1
Liverpool 24,2,2,2,0,2,0,1,1,2,0,4,0,2,1,0,0,0,1
Stuttgart 24,1,1,1,1,3,0,1,1,2,0,3,1,2,2,0,1,0,1
LAIC 24,1,1,2,0,2,0,0,2,1,0,3,1,1,1,2,0,3,1
Gdansk 24,1,1,2,0,2,0,0,1,2,0,2,1,1,1,2,0,2,1
Toronto 24,1,1,2,1,2,1,0,1,1,0,2,2,1,1,2,0,2,1
Lille 24,1,1,2,1,2,0,0,1,2,0,2,2,1,1,2,0,2,0
Sacramento 24,1,1,2,0,2,0,0,2,2,1,2,1,1,1,2,0,2,0
Peoria 24,1,1,1,1,2,0,0,0,2,0,3,2,1,2,1,0,1,1
Pittsburgh 24,1,1,2,1,2,0,0,0,2,1,3,1,1,1,2,0,1,2
